episode,greedy_reward
251163,-2068.1572
251164,-2069.3178
251165,-2114.5022
251166,-2066.1500
251167,-2092.5944
251168,-2114.3467
251169,-2332.2306
251170,-2064.6783
251171,-2066.6228
251172,-2313.7544
251173,-2066.9006
251174,-2307.7461
251175,-2067.1783
251176,-2120.5383
251177,-2319.0578
251178,-2147.4000
251179,-2112.9578
251180,-2220.3433
251181,-2243.7600
251182,-2113.2356
251183,-2095.0456
251184,-2083.1439
251185,-2218.5767
251186,-2069.1228
251187,-2119.3044
251188,-2113.4133
251189,-2131.4572
251190,-2103.9906
251191,-2322.1344
251192,-2068.8450
251193,-2065.5878
251194,-2342.7194
251195,-2131.7350
251196,-2130.6239
251197,-2304.9067
251198,-2132.3739
251199,-2177.7967
251200,-2064.7544
251201,-2095.6106
251202,-2125.8950
251203,-2177.1850
251204,-2069.9000
251205,-2178.7756
251206,-2178.3522
251207,-2065.8589
251208,-2094.7211
251209,-2221.4544
251210,-2185.1644
251211,-2115.5383
251212,-2178.0944
251213,-2338.9989
251214,-2309.0494
251215,-2120.5383
251216,-2229.3739
251217,-2175.3100
251218,-2098.3883
251219,-2070.7333
251220,-2069.1228
251221,-2066.9767
251222,-2119.4272
251223,-2117.4828
251224,-2176.9633
251225,-2178.6300
251226,-2065.4556
251227,-2085.6867
251228,-2141.9900
251229,-2202.4967
251230,-2195.6078
251231,-2249.7744
251232,-2089.7478
251233,-2065.3033
251234,-2177.8033
251235,-2088.0811
251236,-2361.0133
251237,-2158.9144
251238,-2160.5311
251239,-2376.9967
251240,-2366.1633
251241,-2197.2478
251242,-2392.9578
251243,-2216.9700
251244,-2141.0811
251245,-2220.0256
251246,-2065.3033
251247,-2064.7478
251248,-2187.8033
251249,-2147.7533
251250,-2134.4700
251251,-2322.5522
251252,-2355.0522
251253,-2352.2744
251254,-2236.0022
251255,-2081.8467
251256,-2081.8467
251257,-2116.1633
251258,-2106.3883
251259,-2115.2611
251260,-2324.8094
251261,-2176.6856
251262,-2083.5189
251263,-2091.6156
251264,-2255.1767
251265,-2064.4767
251266,-2092.7828
251267,-2066.6761
251268,-2080.9589
251269,-2065.8428
251270,-2080.2644
251271,-2066.6761
251272,-2066.6761
251273,-2066.6761
251274,-2066.6761
251275,-2066.6761
251276,-2066.6761
251277,-2066.6761
251278,-2066.6761
251279,-2066.6761
251280,-2079.0144
251281,-2098.2700
251282,-2065.7667
251283,-2080.2644
251284,-2226.1633
251285,-2107.3067
251286,-2108.1400
251287,-2226.1633
251288,-2125.3478
251289,-2123.3811
251290,-2103.8289
251291,-2103.8289
251292,-2274.7744
251293,-2375.7467
251294,-2266.4411
251295,-2235.0522
251296,-2268.1078
251297,-2385.3300
251298,-2366.7189
251299,-2165.1800
251300,-2170.2833
251301,-2166.6633
251302,-2166.8356
251303,-2166.8356
251304,-2168.1078
251305,-2172.5522
251306,-2172.5522
251307,-2244.4856
251308,-2161.1633
251309,-2169.2189
251310,-2182.5856
251311,-2275.8856
251312,-2274.7744
251313,-2164.2189
251314,-2327.5522
251315,-2126.7189
251316,-2246.7522
251317,-2247.0300
251318,-2206.4744
251319,-2207.0300
251320,-2207.0300
251321,-2207.0300
251322,-2165.0856
251323,-2167.3078
251324,-2065.8028
251325,-2127.5522
251326,-2418.9200
251327,-2286.9661
251328,-2065.8589
251329,-2204.1550
251330,-2066.1367
251331,-2066.4211
251332,-2065.8656
251333,-2064.7544
251334,-2221.1767
251335,-2063.9144
251336,-2220.8989
251337,-2065.8589
251338,-2113.9689
251339,-2090.3300
251340,-2113.9967
251341,-2091.4411
251342,-2114.3078
251343,-2114.0689
251344,-2065.3633
251345,-2115.3911
251346,-2218.6767
251347,-2117.2117
251348,-2114.3078
251349,-2141.3783
251350,-2116.1078
251351,-2218.9611
251352,-2113.5300
251353,-2091.1633
251354,-2176.9633
251355,-2096.4011
251356,-2101.2556
251357,-2218.6767
251358,-2203.1067
251359,-2095.3194
251360,-2219.7878
251361,-2142.2050
251362,-2220.8989
251363,-2065.3033
251364,-2066.6922
251365,-2117.3356
251366,-2116.6494
251367,-2142.4828
251368,-2117.7672
251369,-2218.6833
251370,-2116.3783
251371,-2220.3433
251372,-2167.7833
251373,-2221.7322
251374,-2447.9344
251375,-2116.1633
251376,-2118.3161
251377,-2084.8467
251378,-2116.3783
251379,-2220.3433
251380,-2222.2878
251381,-2117.6133
251382,-2064.9694
251383,-2066.0806
251384,-2085.9778
251385,-2116.5689
251386,-2067.2478
251387,-2221.1767
251388,-2119.7050
251389,-2085.2378
251390,-2183.9411
251391,-2070.2378
251392,-2156.2244
251393,-2158.4467
